id_employee,age,genre,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
1,41,F,Célibataire,Commercial,Cadre Commercial,8,8,6,4,2,3,4,1,1,3,Oui,11.0,1,0,0,1,2,Infra & Cloud,Occasionnel,0,5
2,49,M,Marié(e),Consulting,Assistant de Direction,1,10,10,7,3,2,2,4,3,4,Non,23.0,0,1,3,8,1,Infra & Cloud,Frequent,1,7
4,37,M,Célibataire,Consulting,Consultant,6,7,0,0,4,2,3,2,3,3,Oui,15.0,1,0,3,2,2,Autre,Occasionnel,0,0
5,33,F,Marié(e),Consulting,Assistant de Direction,1,8,8,7,4,3,3,3,3,3,Oui,11.0,0,0,3,3,4,Infra & Cloud,Frequent,3,0
7,27,M,Marié(e),Consulting,Consultant,9,6,2,2,1,3,2,4,3,3,Non,12.0,0,1,3,2,1,Transformation Digitale,Occasionnel,2,2
8,32,M,Célibataire,Consulting,Consultant,0,8,7,7,4,3,4,3,2,3,Non,13.0,0,0,2,2,2,Infra & Cloud,Frequent,3,6
10,59,F,Marié(e),Consulting,Consultant,4,12,1,0,3,4,1,1,2,4,Oui,20.0,0,3,3,3,3,Transformation Digitale,Occasionnel,0,0
11,30,M,Divorcé(e),Consulting,Consultant,1,1,1,0,4,3,3,2,3,4,Non,22.0,0,1,2,24,1,Infra & Cloud,Occasionnel,0,0
12,38,M,Célibataire,Consulting,Tech Lead,0,10,9,7,4,2,3,2,3,4,Non,21.0,0,0,2,23,3,Infra & Cloud,Frequent,1,8
13,36,M,Marié(e),Consulting,Manager,6,17,7,7,3,3,3,2,2,3,Non,13.0,0,2,3,27,3,Transformation Digitale,Occasionnel,7,7
14,35,M,Marié(e),Consulting,Consultant,0,6,5,4,1,4,2,3,3,3,Non,13.0,0,1,5,16,3,Transformation Digitale,Occasionnel,0,3
15,29,F,Célibataire,Consulting,Consultant,0,10,9,5,4,2,3,4,3,3,Oui,12.0,0,0,3,15,2,Infra & Cloud,Occasionnel,0,8
16,31,M,Divorcé(e),Consulting,Assistant de Direction,1,5,5,2,1,3,3,4,2,3,Non,17.0,0,1,1,26,1,Infra & Cloud,Occasionnel,4,3
18,34,M,Divorcé(e),Consulting,Consultant,0,3,2,2,2,3,4,3,3,3,Non,11.0,0,1,2,19,2,Transformation Digitale,Occasionnel,1,2
19,28,M,Célibataire,Consulting,Consultant,5,6,4,2,3,2,3,2,3,3,Oui,14.0,1,0,4,24,3,Infra & Cloud,Occasionnel,0,3
20,29,F,Divorcé(e),Consulting,Tech Lead,1,10,10,9,2,4,1,3,3,3,Non,11.0,0,1,1,21,4,Infra & Cloud,Occasionnel,8,8
21,32,M,Divorcé(e),Consulting,Assistant de Direction,0,7,6,2,1,4,2,4,2,3,Oui,12.0,0,2,5,5,2,Infra & Cloud,Occasionnel,0,5
22,22,M,Divorcé(e),Consulting,Consultant,1,1,1,0,4,4,4,2,2,3,Oui,13.0,0,2,2,16,2,Transformation Digitale,Aucun,0,0
23,53,F,Marié(e),Commercial,Senior Manager,2,31,25,8,1,2,4,3,3,3,Non,16.0,0,0,3,2,4,Infra & Cloud,Occasionnel,3,7
24,38,M,Célibataire,Consulting,Assistant de Direction,5,6,3,2,4,3,4,3,3,3,Oui,11.0,0,0,3,2,3,Infra & Cloud,Occasionnel,1,2
26,24,F,Divorcé(e),Consulting,Tech Lead,0,5,4,2,1,4,3,4,2,3,Non,18.0,0,1,5,11,2,Autre,Aucun,1,3
